Country,Year,HAQ_Index,Life_Expectancy,Health_Expenditure,Efficiency_Score
Hungary,2015,79.6,75.6536,1842.3778,0.043205036448007564
Iceland,2005,89.8,81.1691,3338.1165,0.02690139783917068
Iceland,2010,92.1,81.5939,3324.1052,0.0277067043485868
Iceland,2015,93.6,82.1638,4000.0696,0.023399592847084462
India,2005,38.2,64.9385,113.216354,0.3374070851990164
India,2010,41.2,67.1616,140.33836,0.2935761825918445
India,2015,44.8,69.326,195.06578,0.2296661157072245
Indonesia,2005,43.8,67.5308,168.9206,0.259293419511889
Indonesia,2010,46.8,68.3642,233.13481,0.200742222922437
Indonesia,2015,49.2,69.5196,293.2338,0.16778420495863713
Iran,2005,65.7,72.4463,719.5397,0.09130837395073545
Iran,2010,68.9,74.3896,1109.2611,0.062113419464542664
Iran,2015,71.1,75.9073,1147.5208,0.06195966121049831
Iraq,2005,54.4,64.8989,285.32343,0.1906608230526319
Iraq,2010,57.2,68.0924,394.77823,0.14489147489211854
Iraq,2015,60.1,69.9771,313.4084,0.1917625692227777
Ireland,2005,83.5,78.9093,3128.8884,0.02668679394253883
Ireland,2010,86.0,80.5992,4557.419,0.01887032989505683
Ireland,2015,88.4,81.5326,5094.9385,0.01735055290657581
Israel,2005,80.3,80.3935,1822.0417,0.04407143919922359
Israel,2010,83.7,81.9742,2096.7344,0.039919219143826706
Israel,2015,85.5,82.2538,2620.6455,0.03262554969758405
Italy,2005,85.5,81.0201,2509.4485,0.03407123118884488
Italy,2010,87.5,82.1319,3112.5142,0.02811232154378605
Italy,2015,88.7,82.5211,3304.2861,0.02684392250416815
Jamaica,2005,62.2,71.4929,448.6062,0.13865167266970452
Jamaica,2010,62.9,71.9789,520.5384,0.12083642628478512
Jamaica,2015,63.7,72.2144,594.37537,0.10717133181342962
Japan,2005,85.6,82.0073,2460.9255,0.034783661675251855
Japan,2010,87.8,82.916,3199.5674,0.027441209708537473
Japan,2015,89.0,83.8832,4392.6763,0.02026099669579568
Jordan,2005,68.4,72.9772,682.1147,0.1002763904662955
Jordan,2010,74.3,73.7973,769.3639,0.09657328606138137
Jordan,2015,76.5,75.06,669.0352,0.11434375949127938
Kazakhstan,2005,51.9,65.3556,516.0486,0.10057192287703136
Kazakhstan,2010,57.9,68.2575,510.11694,0.11350338610593877
Kazakhstan,2015,61.1,72.0242,683.63965,0.0893745703602768
Kenya,2005,46.4,58.5098,98.85737,0.4693630833998517
Kenya,2010,47.5,60.9149,141.98116,0.334551429217792
Kenya,2015,48.7,62.279,175.25003,0.2778886828150614
Kiribati,2005,41.1,65.5174,183.51515,0.22395971122820105
Kiribati,2010,43.6,65.8595,150.86305,0.289003834935062
Kiribati,2015,44.9,65.831,166.73706,0.2692862642534299
Kuwait,2005,75.7,76.4639,1710.6543,0.044252073607157216
Kuwait,2010,77.7,77.4995,2014.0248,0.038579465357129666
Kuwait,2015,82.0,79.2194,1908.0515,0.04297577921769931
Kyrgyzstan,2005,54.6,65.7894,174.89375,0.3121895436515027
Kyrgyzstan,2010,57.7,67.5214,212.80185,0.2711442593191742
Kyrgyzstan,2015,60.4,69.3094,298.8251,0.20212492190247738
Laos,2005,33.6,60.6881,93.68794,0.3586374084006971
Laos,2010,39.6,63.6895,115.67115,0.3423498426357826
Laos,2015,44.9,66.6881,149.33113,0.3006740791421052
Latvia,2005,70.7,70.6324,807.582,0.08754528951858759
Latvia,2010,74.4,73.0285,1067.8075,0.06967547989689155
Latvia,2015,77.7,74.6646,1405.7756,0.055271979396996226
Lebanon,2005,73.1,76.0737,756.3715,0.09664562982608414
Lebanon,2010,77.0,77.5292,1093.7461,0.0704002510271808
Lebanon,2015,80.0,78.2754,1264.1102,0.06328562177569645
Lesotho,2005,33.2,43.6115,81.30807,0.4083235526313686
Lesotho,2010,34.4,46.0447,165.19003,0.20824501333403714
Lesotho,2015,35.7,51.8298,283.1114,0.12609877242668435
Liberia,2005,41.7,56.7648,69.62108,0.5989565229381676
Liberia,2010,43.2,59.3577,114.17308,0.3783729054169337
Liberia,2015,45.4,59.2481,170.11835,0.26687303280333957
Libya,2005,67.1,71.4386,698.8692,0.09601224377895033
Libya,2010,69.7,72.1963,991.8772,0.07027079561865118
Libya,2015,69.9,71.644,1039.5306,0.06724188782898743
Lithuania,2005,70.2,71.2464,811.5737,0.08649861374265824
Lithuania,2010,73.6,73.1962,1349.8138,0.054526039072944725
Lithuania,2015,76.6,74.4737,1858.083,0.04122528433875128
Luxembourg,2005,84.9,78.8786,4941.6826,0.017180383054144353
Luxembourg,2010,87.5,80.0987,6078.016,0.014396145057860988
Luxembourg,2015,89.3,81.2561,5546.6826,0.016099713367409917
Madagascar,2005,41.6,60.6639,70.02014,0.5941147789764488
Madagascar,2010,42.5,62.5967,68.76745,0.6180249522121295
Madagascar,2015,43.7,63.3621,74.9242,0.583256144209748
Malawi,2005,40.6,52.4693,44.55862,0.9111592773743892
Malawi,2010,44.3,57.787,72.52932,0.6107874718803374
Malawi,2015,47.0,62.324,90.93724,0.516839965673029
Malaysia,2005,63.2,74.3699,477.9094,0.1322426384582517
Malaysia,2010,63.9,75.3761,648.1486,0.09858850269830098
Malaysia,2015,66.6,75.2876,937.4023,0.07104740408680456
Maldives,2005,67.1,74.7846,860.8916,0.07794244943265795
Maldives,2010,72.9,76.7556,1093.9668,0.06663821973390784
Maldives,2015,75.5,78.6073,1552.1055,0.04864360057998635
Mali,2005,43.5,53.7925,74.98678,0.5801022526904076
Mali,2010,44.4,55.9931,78.937614,0.5624694964811072
Mali,2015,45.6,57.8519,80.569336,0.56597214602836
Malta,2005,81.4,79.4894,1938.2599,0.04199643195424928
Malta,2010,82.9,81.3977,2286.3303,0.036258977978816095
Malta,2015,85.1,82.5914,3380.9626,0.025170346456952822
Marshall Islands,2005,44.3,64.1124,482.3985,0.09183278969565617
Marshall Islands,2010,46.8,64.4977,533.6566,0.08769684474997591
Marshall Islands,2015,49.8,65.2922,529.29926,0.0940866609184377
Mauritania,2005,46.9,63.9197,98.49199,0.47618085491013024
Mauritania,2010,49.6,65.6606,86.3121,0.5746587094972779
Mauritania,2015,52.0,66.4982,146.12335,0.35586372746039563
Mauritius,2005,61.8,72.6439,414.2699,0.14917810828158162
Mauritius,2010,63.3,73.6475,701.0318,0.0902954758970991
Mauritius,2015,65.7,74.673,1085.4474,0.060528036641849255
Mexico,2005,59.1,73.6267,740.06744,0.07985758703287905
Mexico,2010,60.5,73.7181,873.354,0.06927316987155266
Mexico,2015,62.6,74.4315,1054.3677,0.05937207674324621
Micronesia (country),2005,49.8,64.9065,433.9329,0.11476428728957863
Micronesia (country),2010,51.5,64.8919,361.96512,0.14227890245336347
Micronesia (country),2015,53.8,65.3065,367.42014,0.1464263771713766
Moldova,2005,64.8,68.1969,314.52103,0.20602755879312742
Moldova,2010,66.8,69.8759,520.4409,0.12835271017323963
Moldova,2015,73.1,70.118,623.6549,0.11721225953648404
Mongolia,2005,50.9,64.8105,206.7189,0.2462280904165028
Mongolia,2010,54.9,67.1004,285.4875,0.19230264022067514
Mongolia,2015,58.5,69.2386,450.03214,0.12999071577421115
Montenegro,2015,80.7,76.5939,1460.0762,0.05527108790623394
Morocco,2005,55.6,68.7475,228.57527,0.24324591194839235
Morocco,2010,58.7,70.8211,375.8435,0.15618202789192842
Morocco,2015,61.3,72.8938,403.68646,0.15185052280425754
Mozambique,2005,39.6,52.3225,30.40282,1.3025107539366416
Mozambique,2010,40.9,55.0397,52.937717,0.7726060419265908
